grinning	😀	grinning face
tropical_drink	🍹	tropical drink
beer	🍺	beer mug
beers	🍻	clinking beer mugs
clinking_glasses	🥂	clinking glasses
tumbler_glass	🥃	tumbler glass
pouring_liquid	🫗	pouring liquid
cup_with_straw	🥤	cup with straw
bubble_tea	🧋	bubble tea
beverage_box	🧃	beverage box
mate	🧉	mate
ice_cube	🧊	ice
chopsticks	🥢	chopsticks
plate_with_cutlery	🍽️	fork and knife with plate
fork_and_knife	🍴	fork and knife
spoon	🥄	spoon
hocho	🔪	kitchen knife
knife	🔪	kitchen knife
jar	🫙	jar
amphora	🏺	amphora
earth_africa	🌍	globe showing Europe-Africa
earth_americas	🌎	globe showing Americas
earth_asia	🌏	globe showing Asia-Australia
globe_with_meridians	🌐	globe with meridians
world_map	🗺️	world map
japan	🗾	map of Japan
compass	🧭	compass
mountain_snow	🏔️	snow-capped mountain
mountain	⛰️	mountain
volcano	🌋	volcano
mount_fuji	🗻	mount fuji
camping	🏕️	camping
beach_umbrella	🏖️	beach with umbrella
desert	🏜️	desert
desert_island	🏝️	desert island
national_park	🏞️	national park
stadium	🏟️	stadium
classical_building	🏛️	classical building
building_construction	🏗️	building construction
bricks	🧱	brick
rock	🪨	rock
wood	🪵	wood
hut	🛖	hut
houses	🏘️	houses
derelict_house	🏚️	derelict house
house	🏠	house
house_with_garden	🏡	house with garden
office	🏢	office building
post_office	🏣	Japanese post office
european_post_office	🏤	post office
hospital	🏥	hospital
bank	🏦	bank
hotel	🏨	hotel
love_hotel	🏩	love hotel
convenience_store	🏪	convenience store
school	🏫	school
department_store	🏬	department store
factory	🏭	factory
japanese_castle	🏯	Japanese castle
european_castle	🏰	castle
wedding	💒	wedding
tokyo_tower	🗼	Tokyo tower
statue_of_liberty	🗽	Statue of Liberty
church	⛪	church
mosque	🕌	mosque
hindu_temple	🛕	hindu temple
synagogue	🕍	synagogue
shinto_shrine	⛩️	shinto shrine
kaaba	🕋	kaaba
fountain	⛲	fountain
tent	⛺	tent
foggy	🌁	foggy
night_with_stars	🌃	night with stars
cityscape	🏙️	cityscape
sunrise_over_mountains	🌄	sunrise over mountains
sunrise	🌅	sunrise
city_sunset	🌆	cityscape at dusk
city_sunrise	🌇	sunset
bridge_at_night	🌉	bridge at night
hotsprings	♨️	hot springs
carousel_horse	🎠	carousel horse
playground_slide	🛝	playground slide
ferris_wheel	🎡	ferris wheel
roller_coaster	🎢	roller coaster
barber	💈	barber pole
circus_tent	🎪	circus tent
steam_locomotive	🚂	locomotive
railway_car	🚃	railway car
bullettrain_side	🚄	high-speed train
bullettrain_front	🚅	bullet train
train2	🚆	train
metro	🚇	metro
light_rail	🚈	light rail
station	🚉	station
tram	🚊	tram
monorail	🚝	monorail
mountain_railway	🚞	mountain railway
train	🚋	tram car
bus	🚌	bus
oncoming_bus	🚍	oncoming bus
trolleybus	🚎	trolleybus
minibus	🚐	minibus
ambulance	🚑	ambulance
fire_engine	🚒	fire engine
police_car	🚓	police car
oncoming_police_car	🚔	oncoming police car
taxi	🚕	taxi
oncoming_taxi	🚖	oncoming taxi
car	🚗	automobile
red_car	🚗	automobile
oncoming_automobile	🚘	oncoming automobile
blue_car	🚙	sport utility vehicle
pickup_truck	🛻	pickup truck
truck	🚚	delivery truck
articulated_lorry	🚛	articulated lorry
tractor	🚜	tractor
racing_car	🏎️	racing car
motorcycle	🏍️	motorcycle
motor_scooter	🛵	motor scooter
manual_wheelchair	🦽	manual wheelchair
motorized_wheelchair	🦼	motorized wheelchair
auto_rickshaw	🛺	auto rickshaw
bike	🚲	bicycle
kick_scooter	🛴	kick scooter
skateboard	🛹	skateboard
roller_skate	🛼	roller skate
busstop	🚏	bus stop
motorway	🛣️	motorway
railway_track	🛤️	railway track
oil_drum	🛢️	oil drum
fuelpump	⛽	fuel pump
wheel	🛞	wheel
rotating_light	🚨	police car light
traffic_light	🚥	horizontal traffic light
vertical_traffic_light	🚦	vertical traffic light
stop_sign	🛑	stop sign
construction	🚧	construction
anchor	⚓	anchor
ring_buoy	🛟	ring buoy
boat	⛵	sailboat
sailboat	⛵	sailboat
canoe	🛶	canoe
speedboat	🚤	speedboat
passenger_ship	🛳️	passenger ship
ferry	⛴️	ferry
motor_boat	🛥️	motor boat
ship	🚢	ship
airplane	✈️	airplane
small_airplane	🛩️	small airplane
flight_departure	🛫	airplane departure
flight_arrival	🛬	airplane arrival
parachute	🪂	parachute
seat	💺	seat
helicopter	🚁	helicopter
suspension_railway	🚟	suspension railway
mountain_cableway	🚠	mountain cableway
aerial_tramway	🚡	aerial tramway
artificial_satellite	🛰️	satellite
rocket	🚀	rocket
flying_saucer	🛸	flying saucer
bellhop_bell	🛎️	bellhop bell
luggage	🧳	luggage
hourglass	⌛	hourglass done
hourglass_flowing_sand	⏳	hourglass not done
watch	⌚	watch
alarm_clock	⏰	alarm clock
stopwatch	⏱️	stopwatch
timer_clock	⏲️	timer clock
mantelpiece_clock	🕰️	mantelpiece clock
clock12	🕛	twelve o’clock
clock1230	🕧	twelve-thirty
clock1	🕐	one o’clock
clock130	🕜	one-thirty
clock2	🕑	two o’clock
clock230	🕝	two-thirty
clock3	🕒	three o’clock
clock330	🕞	three-thirty
clock4	🕓	four o’clock
clock430	🕟	four-thirty
clock5	🕔	five o’clock
clock530	🕠	five-thirty
clock6	🕕	six o’clock
clock630	🕡	six-thirty
clock7	🕖	seven o’clock
clock730	🕢	seven-thirty
clock8	🕗	eight o’clock
clock830	🕣	eight-thirty
clock9	🕘	nine o’clock
clock930	🕤	nine-thirty
clock10	🕙	ten o’clock
clock1030	🕥	ten-thirty
clock11	🕚	eleven o’clock
clock1130	🕦	eleven-thirty
new_moon	🌑	new moon
waxing_crescent_moon	🌒	waxing crescent moon
first_quarter_moon	🌓	first quarter moon
moon	🌔	waxing gibbous moon
waxing_gibbous_moon	🌔	waxing gibbous moon
full_moon	🌕	full moon
waning_gibbous_moon	🌖	waning gibbous moon
last_quarter_moon	🌗	last quarter moon
waning_crescent_moon	🌘	waning crescent moon
crescent_moon	🌙	crescent moon
new_moon_with_face	🌚	new moon face
first_quarter_moon_with_face	🌛	first quarter moon face
last_quarter_moon_with_face	🌜	last quarter moon face
thermometer	🌡️	thermometer
sunny	☀️	sun
full_moon_with_face	🌝	full moon face
sun_with_face	🌞	sun with face
ringed_planet	🪐	ringed planet
star	⭐	star
star2	🌟	glowing star
stars	🌠	shooting star
milky_way	🌌	milky way
cloud	☁️	cloud
partly_sunny	⛅	sun behind cloud
cloud_with_lightning_and_rain	⛈️	cloud with lightning and rain
sun_behind_small_cloud	🌤️	sun behind small cloud
sun_behind_large_cloud	🌥️	sun behind large cloud
sun_behind_rain_cloud	🌦️	sun behind rain cloud
cloud_with_rain	🌧️	cloud with rain
cloud_with_snow	🌨️	cloud with snow
cloud_with_lightning	🌩️	cloud with lightning
tornado	🌪️	tornado
fog	🌫️	fog
wind_face	🌬️	wind face
cyclone	🌀	cyclone
rainbow	🌈	rainbow
closed_umbrella	🌂	closed umbrella
open_umbrella	☂️	umbrella
umbrella	☔	umbrella with rain drops
parasol_on_ground	⛱️	umbrella on ground
zap	⚡	high voltage
snowflake	❄️	snowflake
snowman_with_snow	☃️	snowman
snowman	⛄	snowman without snow
comet	☄️	comet
fire	🔥	fire
droplet	💧	droplet
ocean	🌊	water wave
jack_o_lantern	🎃	jack-o-lantern
christmas_tree	🎄	Christmas tree
fireworks	🎆	fireworks
sparkler	🎇	sparkler
firecracker	🧨	firecracker
sparkles	✨	sparkles
balloon	🎈	balloon
tada	🎉	party popper
confetti_ball	🎊	confetti ball
tanabata_tree	🎋	tanabata tree
bamboo	🎍	pine decoration
dolls	🎎	Japanese dolls
flags	🎏	carp streamer
wind_chime	🎐	wind chime
rice_scene	🎑	moon viewing ceremony
red_envelope	🧧	red envelope
ribbon	🎀	ribbon
gift	🎁	wrapped gift
reminder_ribbon	🎗️	reminder ribbon
tickets	🎟️	admission tickets
ticket	🎫	ticket
medal_military	🎖️	military medal
trophy	🏆	trophy
medal_sports	🏅	sports medal
1st_place_medal	🥇	1st place medal
2nd_place_medal	🥈	2nd place medal
3rd_place_medal	🥉	3rd place medal
soccer	⚽	soccer ball
baseball	⚾	baseball
softball	🥎	softball
basketball	🏀	basketball
volleyball	🏐	volleyball
football	🏈	american football
rugby_football	🏉	rugby football
tennis	🎾	tennis
flying_disc	🥏	flying disc
bowling	🎳	bowling
cricket_game	🏏	cricket game
field_hockey	🏑	field hockey
ice_hockey	🏒	ice hockey
lacrosse	🥍	lacrosse
ping_pong	🏓	ping pong
badminton	🏸	badminton
boxing_glove	🥊	boxing glove
martial_arts_uniform	🥋	martial arts uniform
goal_net	🥅	goal net
golf	⛳	flag in hole
ice_skate	⛸️	ice skate
fishing_pole_and_fish	🎣	fishing pole
diving_mask	🤿	diving mask
running_shirt_with_sash	🎽	running shirt
ski	🎿	skis
sled	🛷	sled
curling_stone	🥌	curling stone
dart	🎯	bullseye
yo_yo	🪀	yo-yo
kite	🪁	kite
gun	🔫	water pistol
8ball	🎱	pool 8 ball
crystal_ball	🔮	crystal ball
magic_wand	🪄	magic wand
video_game	🎮	video game
joystick	🕹️	joystick
slot_machine	🎰	slot machine
game_die	🎲	game die
jigsaw	🧩	puzzle piece
teddy_bear	🧸	teddy bear
pinata	🪅	piñata
mirror_ball	🪩	mirror ball
nesting_dolls	🪆	nesting dolls
spades	♠️	spade suit
hearts	♥️	heart suit
diamonds	♦️	diamond suit
clubs	♣️	club suit
chess_pawn	♟️	chess pawn
black_joker	🃏	joker
mahjong	🀄	mahjong red dragon
flower_playing_cards	🎴	flower playing cards
performing_arts	🎭	performing arts
framed_picture	🖼️	framed picture
art	🎨	artist palette
thread	🧵	thread
sewing_needle	🪡	sewing needle
yarn	🧶	yarn
knot	🪢	knot
eyeglasses	👓	glasses
dark_sunglasses	🕶️	sunglasses
goggles	🥽	goggles
lab_coat	🥼	lab coat
safety_vest	🦺	safety vest
necktie	👔	necktie
shirt	👕	t-shirt
tshirt	👕	t-shirt
jeans	👖	jeans
scarf	🧣	scarf
gloves	🧤	gloves
coat	🧥	coat
socks	🧦	socks
dress	👗	dress
kimono	👘	kimono
sari	🥻	sari
one_piece_swimsuit	🩱	one-piece swimsuit
swim_brief	🩲	briefs
shorts	🩳	shorts
bikini	👙	bikini
womans_clothes	👚	woman’s clothes
folding_hand_fan	🪭	folding hand fan
purse	👛	purse
handbag	👜	handbag
pouch	👝	clutch bag
shopping	🛍️	shopping bags
school_satchel	🎒	backpack
thong_sandal	🩴	thong sandal
mans_shoe	👞	man’s shoe
shoe	👞	man’s shoe
athletic_shoe	👟	running shoe
hiking_boot	🥾	hiking boot
flat_shoe	🥿	flat shoe
high_heel	👠	high-heeled shoe
sandal	👡	woman’s sandal
ballet_shoes	🩰	ballet shoes
boot	👢	woman’s boot
hair_pick	🪮	hair pick
crown	👑	crown
womans_hat	👒	woman’s hat
tophat	🎩	top hat
mortar_board	🎓	graduation cap
billed_cap	🧢	billed cap
military_helmet	🪖	military helmet
rescue_worker_helmet	⛑️	rescue worker’s helmet
prayer_beads	📿	prayer beads
lipstick	💄	lipstick
ring	💍	ring
gem	💎	gem stone
mute	🔇	muted speaker
speaker	🔈	speaker low volume
sound	🔉	speaker medium volume
loud_sound	🔊	speaker high volume
loudspeaker	📢	loudspeaker
mega	📣	megaphone
postal_horn	📯	postal horn
bell	🔔	bell
no_bell	🔕	bell with slash
musical_score	🎼	musical score
musical_note	🎵	musical note
notes	🎶	musical notes
studio_microphone	🎙️	studio microphone
level_slider	🎚️	level slider
control_knobs	🎛️	control knobs
microphone	🎤	microphone
headphones	🎧	headphone
radio	📻	radio
saxophone	🎷	saxophone
accordion	🪗	accordion
guitar	🎸	guitar
musical_keyboard	🎹	musical keyboard
trumpet	🎺	trumpet
violin	🎻	violin
banjo	🪕	banjo
drum	🥁	drum
long_drum	🪘	long drum
maracas	🪇	maracas
flute	🪈	flute
iphone	📱	mobile phone
calling	📲	mobile phone with arrow
phone	☎️	telephone
telephone	☎️	telephone
telephone_receiver	📞	telephone receiver
pager	📟	pager
fax	📠	fax machine
battery	🔋	battery
low_battery	🪫	low battery
electric_plug	🔌	electric plug
computer	💻	laptop
desktop_computer	🖥️	desktop computer
printer	🖨️	printer
keyboard	⌨️	keyboard
computer_mouse	🖱️	computer mouse
trackball	🖲️	trackball
minidisc	💽	computer disk
floppy_disk	💾	floppy disk
cd	💿	optical disk
dvd	📀	dvd
abacus	🧮	abacus
movie_camera	🎥	movie camera
film_strip	🎞️	film frames
film_projector	📽️	film projector
clapper	🎬	clapper board
tv	📺	television
camera	📷	camera
camera_flash	📸	camera with flash
video_camera	📹	video camera
vhs	📼	videocassette
mag	🔍	magnifying glass tilted left
mag_right	🔎	magnifying glass tilted right
candle	🕯️	candle
bulb	💡	light bulb
flashlight	🔦	flashlight
izakaya_lantern	🏮	red paper lantern
lantern	🏮	red paper lantern
diya_lamp	🪔	diya lamp
notebook_with_decorative_cover	📔	notebook with decorative cover
closed_book	📕	closed book
book	📖	open book
open_book	📖	open book
green_book	📗	green book
blue_book	📘	blue book
orange_book	📙	orange book
books	📚	books
notebook	📓	notebook
ledger	📒	ledger
page_with_curl	📃	page with curl
scroll	📜	scroll
page_facing_up	📄	page facing up
newspaper	📰	newspaper
newspaper_roll	🗞️	rolled-up newspaper
bookmark_tabs	📑	bookmark tabs
bookmark	🔖	bookmark
label	🏷️	label
moneybag	💰	money bag
coin	🪙	coin
yen	💴	yen banknote
dollar	💵	dollar banknote
euro	💶	euro banknote
pound	💷	pound banknote
money_with_wings	💸	money with wings
credit_card	💳	credit card
receipt	🧾	receipt
chart	💹	chart increasing with yen
envelope	✉️	envelope
email	📧	e-mail
e-mail	📧	e-mail
incoming_envelope	📨	incoming envelope
envelope_with_arrow	📩	envelope with arrow
outbox_tray	📤	outbox tray
inbox_tray	📥	inbox tray
package	📦	package
mailbox	📫	closed mailbox with raised flag
mailbox_closed	📪	closed mailbox with lowered flag
mailbox_with_mail	📬	open mailbox with raised flag
mailbox_with_no_mail	📭	open mailbox with lowered flag
postbox	📮	postbox
ballot_box	🗳️	ballot box with ballot
pencil2	✏️	pencil
black_nib	✒️	black nib
fountain_pen	🖋️	fountain pen
pen	🖊️	pen
paintbrush	🖌️	paintbrush
crayon	🖍️	crayon
memo	📝	memo
pencil	📝	memo
briefcase	💼	briefcase
file_folder	📁	file folder
open_file_folder	📂	open file folder
card_index_dividers	🗂️	card index dividers
date	📅	calendar
calendar	📆	tear-off calendar
spiral_notepad	🗒️	spiral notepad
spiral_calendar	🗓️	spiral calendar
card_index	📇	card index
chart_with_upwards_trend	📈	chart increasing
chart_with_downwards_trend	📉	chart decreasing
bar_chart	📊	bar chart
clipboard	📋	clipboard
pushpin	📌	pushpin
round_pushpin	📍	round pushpin
paperclip	📎	paperclip
paperclips	🖇️	linked paperclips
straight_ruler	📏	straight ruler
triangular_ruler	📐	triangular ruler
scissors	✂️	scissors
card_file_box	🗃️	card file box
file_cabinet	🗄️	file cabinet
wastebasket	🗑️	wastebasket
lock	🔒	locked
unlock	🔓	unlocked
lock_with_ink_pen	🔏	locked with pen
closed_lock_with_key	🔐	locked with key
key	🔑	key
old_key	🗝️	old key
hammer	🔨	hammer
axe	🪓	axe
pick	⛏️	pick
hammer_and_pick	⚒️	hammer and pick
hammer_and_wrench	🛠️	hammer and wrench
dagger	🗡️	dagger
crossed_swords	⚔️	crossed swords
bomb	💣	bomb
boomerang	🪃	boomerang
bow_and_arrow	🏹	bow and arrow
shield	🛡️	shield
carpentry_saw	🪚	carpentry saw
wrench	🔧	wrench
screwdriver	🪛	screwdriver
nut_and_bolt	🔩	nut and bolt
gear	⚙️	gear
clamp	🗜️	clamp
balance_scale	⚖️	balance scale
probing_cane	🦯	white cane
link	🔗	link
chains	⛓️	chains
hook	🪝	hook
toolbox	🧰	toolbox
magnet	🧲	magnet
ladder	🪜	ladder
alembic	⚗️	alembic
test_tube	🧪	test tube
petri_dish	🧫	petri dish
dna	🧬	dna
microscope	🔬	microscope
telescope	🔭	telescope
satellite	📡	satellite antenna
syringe	💉	syringe
drop_of_blood	🩸	drop of blood
pill	💊	pill
adhesive_bandage	🩹	adhesive bandage
crutch	🩼	crutch
stethoscope	🩺	stethoscope
x_ray	🩻	x-ray
door	🚪	door
elevator	🛗	elevator
mirror	🪞	mirror
window	🪟	window
bed	🛏️	bed
couch_and_lamp	🛋️	couch and lamp
chair	🪑	chair
toilet	🚽	toilet
plunger	🪠	plunger
shower	🚿	shower
bathtub	🛁	bathtub
mouse_trap	🪤	mouse trap
razor	🪒	razor
lotion_bottle	🧴	lotion bottle
safety_pin	🧷	safety pin
broom	🧹	broom
basket	🧺	basket
roll_of_paper	🧻	roll of paper
bucket	🪣	bucket
soap	🧼	soap
bubbles	🫧	bubbles
toothbrush	🪥	toothbrush
sponge	🧽	sponge
fire_extinguisher	🧯	fire extinguisher
shopping_cart	🛒	shopping cart
smoking	🚬	cigarette
coffin	⚰️	coffin
headstone	🪦	headstone
funeral_urn	⚱️	funeral urn
nazar_amulet	🧿	nazar amulet
hamsa	🪬	hamsa
moyai	🗿	moai
placard	🪧	placard
identification_card	🪪	identification card
atm	🏧	ATM sign
put_litter_in_its_place	🚮	litter in bin sign
potable_water	🚰	potable water
wheelchair	♿	wheelchair symbol
mens	🚹	men’s room
womens	🚺	women’s room
restroom	🚻	restroom
baby_symbol	🚼	baby symbol
wc	🚾	water closet
passport_control	🛂	passport control
customs	🛃	customs
baggage_claim	🛄	baggage claim
left_luggage	🛅	left luggage
warning	⚠️	warning
children_crossing	🚸	children crossing
no_entry	⛔	no entry
no_entry_sign	🚫	prohibited
no_bicycles	🚳	no bicycles
no_smoking	🚭	no smoking
do_not_litter	🚯	no littering
non-potable_water	🚱	non-potable water
no_pedestrians	🚷	no pedestrians
no_mobile_phones	📵	no mobile phones
underage	🔞	no one under eighteen
radioactive	☢️	radioactive
biohazard	☣️	biohazard
arrow_up	⬆️	up arrow
arrow_upper_right	↗️	up-right arrow
arrow_right	➡️	right arrow
arrow_lower_right	↘️	down-right arrow
arrow_down	⬇️	down arrow
arrow_lower_left	↙️	down-left arrow
arrow_left	⬅️	left arrow
arrow_upper_left	↖️	up-left arrow
arrow_up_down	↕️	up-down arrow
left_right_arrow	↔️	left-right arrow
leftwards_arrow_with_hook	↩️	right arrow curving left
arrow_right_hook	↪️	left arrow curving right
arrow_heading_up	⤴️	right arrow curving up
arrow_heading_down	⤵️	right arrow curving down
arrows_clockwise	🔃	clockwise vertical arrows
arrows_counterclockwise	🔄	counterclockwise arrows button
back	🔙	BACK arrow
end	🔚	END arrow
on	🔛	ON! arrow
soon	🔜	SOON arrow
top	🔝	TOP arrow
place_of_worship	🛐	place of worship
atom_symbol	⚛️	atom symbol
om	🕉️	om
star_of_david	✡️	star of David
wheel_of_dharma	☸️	wheel of dharma
yin_yang	☯️	yin yang
latin_cross	✝️	latin cross
orthodox_cross	☦️	orthodox cross
star_and_crescent	☪️	star and crescent
peace_symbol	☮️	peace symbol
menorah	🕎	menorah
six_pointed_star	🔯	dotted six-pointed star
khanda	🪯	khanda
aries	♈	Aries
taurus	♉	Taurus
gemini	♊	Gemini
cancer	♋	Cancer
leo	♌	Leo
virgo	♍	Virgo
libra	♎	Libra
scorpius	♏	Scorpio
sagittarius	♐	Sagittarius
capricorn	♑	Capricorn
aquarius	♒	Aquarius
pisces	♓	Pisces
ophiuchus	⛎	Ophiuchus
twisted_rightwards_arrows	🔀	shuffle tracks button
repeat	🔁	repeat button
repeat_one	🔂	repeat single button
arrow_forward	▶️	play button
fast_forward	⏩	fast-forward button
next_track_button	⏭️	next track button
play_or_pause_button	⏯️	play or pause button
arrow_backward	◀️	reverse button
rewind	⏪	fast reverse button
previous_track_button	⏮️	last track button
arrow_up_small	🔼	upwards button
arrow_double_up	⏫	fast up button
arrow_down_small	🔽	downwards button
arrow_double_down	⏬	fast down button
pause_button	⏸️	pause button
stop_button	⏹️	stop button
record_button	⏺️	record button
eject_button	⏏️	eject button
cinema	🎦	cinema
low_brightness	🔅	dim button
high_brightness	🔆	bright button
signal_strength	📶	antenna bars
wireless	🛜	wireless
vibration_mode	📳	vibration mode
mobile_phone_off	📴	mobile phone off
female_sign	♀️	female sign
male_sign	♂️	male sign
transgender_symbol	⚧️	transgender symbol
heavy_multiplication_x	✖️	multiply
heavy_plus_sign	➕	plus
heavy_minus_sign	➖	minus
heavy_division_sign	➗	divide
heavy_equals_sign	🟰	heavy equals sign
infinity	♾️	infinity
bangbang	‼️	double exclamation mark
interrobang	⁉️	exclamation question mark
question	❓	red question mark
grey_question	❔	white question mark
grey_exclamation	❕	white exclamation mark
exclamation	❗	red exclamation mark
heavy_exclamation_mark	❗	red exclamation mark
wavy_dash	〰️	wavy dash
currency_exchange	💱	currency exchange
heavy_dollar_sign	💲	heavy dollar sign
medical_symbol	⚕️	medical symbol
recycle	♻️	recycling symbol
fleur_de_lis	⚜️	fleur-de-lis
trident	🔱	trident emblem
name_badge	📛	name badge
beginner	🔰	Japanese symbol for beginner
o	⭕	hollow red circle
white_check_mark	✅	check mark button
ballot_box_with_check	☑️	check box with check
heavy_check_mark	✔️	check mark
x	❌	cross mark
negative_squared_cross_mark	❎	cross mark button
curly_loop	➰	curly loop
loop	➿	double curly loop
part_alternation_mark	〽️	part alternation mark
eight_spoked_asterisk	✳️	eight-spoked asterisk
eight_pointed_black_star	✴️	eight-pointed star
sparkle	❇️	sparkle
copyright	©️	copyright
registered	®️	registered
tm	™️	trade mark
hash	#️⃣	keycap: #
asterisk	*️⃣	keycap: *
zero	0️⃣	keycap: 0
one	1️⃣	keycap: 1
two	2️⃣	keycap: 2
three	3️⃣	keycap: 3
four	4️⃣	keycap: 4
five	5️⃣	keycap: 5
six	6️⃣	keycap: 6
seven	7️⃣	keycap: 7
eight	8️⃣	keycap: 8
nine	9️⃣	keycap: 9
keycap_ten	🔟	keycap: 10
capital_abcd	🔠	input latin uppercase
abcd	🔡	input latin lowercase
1234	🔢	input numbers
symbols	🔣	input symbols
abc	🔤	input latin letters
a	🅰️	A button (blood type)
ab	🆎	AB button (blood type)
b	🅱️	B button (blood type)
cl	🆑	CL button
cool	🆒	COOL button
free	🆓	FREE button
information_source	ℹ️	information
id	🆔	ID button
m	Ⓜ️	circled M
new	🆕	NEW button
ng	🆖	NG button
o2	🅾️	O button (blood type)
ok	🆗	OK button
parking	🅿️	P button
sos	🆘	SOS button
up	🆙	UP! button
vs	🆚	VS button
koko	🈁	Japanese “here” button
sa	🈂️	Japanese “service charge” button
u6708	🈷️	Japanese “monthly amount” button
u6709	🈶	Japanese “not free of charge” button
u6307	🈯	Japanese “reserved” button
ideograph_advantage	🉐	Japanese “bargain” button
u5272	🈹	Japanese “discount” button
u7121	🈚	Japanese “free of charge” button
u7981	🈲	Japanese “prohibited” button
accept	🉑	Japanese “acceptable” button
u7533	🈸	Japanese “application” button
u5408	🈴	Japanese “passing grade” button
u7a7a	🈳	Japanese “vacancy” button
congratulations	㊗️	Japanese “congratulations” button
secret	㊙️	Japanese “secret” button
u55b6	🈺	Japanese “open for business” button
u6e80	🈵	Japanese “no vacancy” button
red_circle	🔴	red circle
orange_circle	🟠	orange circle
yellow_circle	🟡	yellow circle
green_circle	🟢	green circle
large_blue_circle	🔵	blue circle
purple_circle	🟣	purple circle
brown_circle	🟤	brown circle
black_circle	⚫	black circle
white_circle	⚪	white circle
red_square	🟥	red square
orange_square	🟧	orange square
yellow_square	🟨	yellow square
green_square	🟩	green square
blue_square	🟦	blue square
purple_square	🟪	purple square
brown_square	🟫	brown square
black_large_square	⬛	black large square
white_large_square	⬜	white large square
black_medium_square	◼️	black medium square
white_medium_square	◻️	white medium square
black_medium_small_square	◾	black medium-small square
white_medium_small_square	◽	white medium-small square
black_small_square	▪️	black small square
white_small_square	▫️	white small square
large_orange_diamond	🔶	large orange diamond
large_blue_diamond	🔷	large blue diamond
small_orange_diamond	🔸	small orange diamond
small_blue_diamond	🔹	small blue diamond
small_red_triangle	🔺	red triangle pointed up
small_red_triangle_down	🔻	red triangle pointed down
diamond_shape_with_a_dot_inside	💠	diamond with a dot
radio_button	🔘	radio button
white_square_button	🔳	white square button
black_square_button	🔲	black square button
checkered_flag	🏁	chequered flag
triangular_flag_on_post	🚩	triangular flag
crossed_flags	🎌	crossed flags
black_flag	🏴	black flag
white_flag	🏳️	white flag
rainbow_flag	🏳️‍🌈	rainbow flag
transgender_flag	🏳️‍⚧️	transgender flag
pirate_flag	🏴‍☠️	pirate flag
ascension_island	🇦🇨	flag: Ascension Island
andorra	🇦🇩	flag: Andorra
united_arab_emirates	🇦🇪	flag: United Arab Emirates
afghanistan	🇦🇫	flag: Afghanistan
antigua_barbuda	🇦🇬	flag: Antigua & Barbuda
anguilla	🇦🇮	flag: Anguilla
albania	🇦🇱	flag: Albania
armenia	🇦🇲	flag: Armenia
angola	🇦🇴	flag: Angola
antarctica	🇦🇶	flag: Antarctica
argentina	🇦🇷	flag: Argentina
american_samoa	🇦🇸	flag: American Samoa
austria	🇦🇹	flag: Austria
australia	🇦🇺	flag: Australia
aruba	🇦🇼	flag: Aruba
aland_islands	🇦🇽	flag: Åland Islands
azerbaijan	🇦🇿	flag: Azerbaijan
bosnia_herzegovina	🇧🇦	flag: Bosnia & Herzegovina
barbados	🇧🇧	flag: Barbados
bangladesh	🇧🇩	flag: Bangladesh
belgium	🇧🇪	flag: Belgium
burkina_faso	🇧🇫	flag: Burkina Faso
bulgaria	🇧🇬	flag: Bulgaria
bahrain	🇧🇭	flag: Bahrain
burundi	🇧🇮	flag: Burundi
benin	🇧🇯	flag: Benin
st_barthelemy	🇧🇱	flag: St. Barthélemy
bermuda	🇧🇲	flag: Bermuda
brunei	🇧🇳	flag: Brunei
bolivia	🇧🇴	flag: Bolivia
caribbean_netherlands	🇧🇶	flag: Caribbean Netherlands
brazil	🇧🇷	flag: Brazil
bahamas	🇧🇸	flag: Bahamas
bhutan	🇧🇹	flag: Bhutan
bouvet_island	🇧🇻	flag: Bouvet Island
botswana	🇧🇼	flag: Botswana
belarus	🇧🇾	flag: Belarus
belize	🇧🇿	flag: Belize
canada	🇨🇦	flag: Canada
cocos_islands	🇨🇨	flag: Cocos (Keeling) Islands
congo_kinshasa	🇨🇩	flag: Congo - Kinshasa
central_african_republic	🇨🇫	flag: Central African Republic
congo_brazzaville	🇨🇬	flag: Congo - Brazzaville
switzerland	🇨🇭	flag: Switzerland
cote_divoire	🇨🇮	flag: Côte d’Ivoire
cook_islands	🇨🇰	flag: Cook Islands
chile	🇨🇱	flag: Chile
cameroon	🇨🇲	flag: Cameroon
cn	🇨🇳	flag: China
colombia	🇨🇴	flag: Colombia
clipperton_island	🇨🇵	flag: Clipperton Island
costa_rica	🇨🇷	flag: Costa Rica
cuba	🇨🇺	flag: Cuba
cape_verde	🇨🇻	flag: Cape Verde
curacao	🇨🇼	flag: Curaçao
christmas_island	🇨🇽	flag: Christmas Island
cyprus	🇨🇾	flag: Cyprus
czech_republic	🇨🇿	flag: Czechia
de	🇩🇪	flag: Germany
diego_garcia	🇩🇬	flag: Diego Garcia
djibouti	🇩🇯	flag: Djibouti
denmark	🇩🇰	flag: Denmark
dominica	🇩🇲	flag: Dominica
dominican_republic	🇩🇴	flag: Dominican Republic
algeria	🇩🇿	flag: Algeria
ceuta_melilla	🇪🇦	flag: Ceuta & Melilla
ecuador	🇪🇨	flag: Ecuador
estonia	🇪🇪	flag: Estonia
egypt	🇪🇬	flag: Egypt
western_sahara	🇪🇭	flag: Western Sahara
eritrea	🇪🇷	flag: Eritrea
es	🇪🇸	flag: Spain
ethiopia	🇪🇹	flag: Ethiopia
